equipment_id,equipment_tag,equipment_type,area,system,criticality
EQ-0439,R-1439,Reactor,Area 400,Automation System,Medium
EQ-0440,T-1440,Tank,Area 400,Electrical System,High
EQ-0441,HX-1441,Heat Exchanger,Area 200,HVAC System,Medium
EQ-0442,V-1442,Valve,Area 100,WFI System,Medium
EQ-0443,V-1443,Valve,Area 400,WFI System,Medium
EQ-0444,CP-1444,Control Panel,Utility Area,Electrical System,Low
EQ-0445,P-1445,Pump,Area 300,Electrical System,Medium
EQ-0446,V-1446,Valve,Area 100,Electrical System,High
EQ-0447,F-1447,Filter,Area 300,CIP System,Medium
EQ-0448,CP-1448,Control Panel,Cleanroom Area,Process System,Low
EQ-0449,CP-1449,Control Panel,Area 300,Automation System,High
EQ-0450,V-1450,Valve,Area 200,HVAC System,High
EQ-0451,F-1451,Filter,Cleanroom Area,Automation System,Medium
EQ-0452,R-1452,Reactor,Cleanroom Area,Automation System,Medium
EQ-0453,V-1453,Valve,Area 200,Electrical System,Low
EQ-0454,T-1454,Tank,Utility Area,HVAC System,Low
EQ-0455,PS-1455,Pipe System,Area 100,Automation System,High
EQ-0456,P-1456,Pump,Utility Area,Automation System,High
EQ-0457,HX-1457,Heat Exchanger,Area 200,WFI System,Low
EQ-0458,F-1458,Filter,Area 100,Electrical System,High
EQ-0459,F-1459,Filter,Area 100,Automation System,Medium
EQ-0460,P-1460,Pump,Area 400,CIP System,Low
EQ-0461,R-1461,Reactor,Area 400,Automation System,High
EQ-0462,F-1462,Filter,Cleanroom Area,WFI System,Low
EQ-0463,P-1463,Pump,Area 400,WFI System,High
EQ-0464,V-1464,Valve,Utility Area,Process System,High
EQ-0465,R-1465,Reactor,Area 300,Electrical System,High
EQ-0466,P-1466,Pump,Area 100,HVAC System,High
EQ-0467,CP-1467,Control Panel,Area 400,CIP System,High
EQ-0468,R-1468,Reactor,Area 300,HVAC System,Medium
EQ-0469,R-1469,Reactor,Area 400,Process System,Low
EQ-0470,HX-1470,Heat Exchanger,Cleanroom Area,WFI System,High
EQ-0471,HX-1471,Heat Exchanger,Utility Area,HVAC System,Low
EQ-0472,HX-1472,Heat Exchanger,Cleanroom Area,CIP System,High
EQ-0473,P-1473,Pump,Area 300,HVAC System,Low
EQ-0474,R-1474,Reactor,Utility Area,HVAC System,High
EQ-0475,V-1475,Valve,Area 400,WFI System,High
EQ-0476,CP-1476,Control Panel,Area 200,Electrical System,High
EQ-0477,P-1477,Pump,Cleanroom Area,HVAC System,Low
EQ-0478,P-1478,Pump,Area 200,CIP System,High
EQ-0479,T-1479,Tank,Utility Area,Process System,Medium
EQ-0480,P-1480,Pump,Area 200,Electrical System,High
EQ-0481,R-1481,Reactor,Area 400,CIP System,Low
EQ-0482,V-1482,Valve,Area 100,CIP System,Low
EQ-0483,CP-1483,Control Panel,Area 200,Electrical System,Low
EQ-0484,PS-1484,Pipe System,Utility Area,Automation System,Low
EQ-0485,PS-1485,Pipe System,Area 200,WFI System,High
EQ-0486,V-1486,Valve,Area 400,WFI System,Medium
EQ-0487,P-1487,Pump,Utility Area,Automation System,Low
EQ-0488,HX-1488,Heat Exchanger,Cleanroom Area,Electrical System,Medium
EQ-0489,F-1489,Filter,Area 100,WFI System,Low
EQ-0490,R-1490,Reactor,Utility Area,WFI System,Low
EQ-0491,R-1491,Reactor,Area 400,CIP System,Medium
EQ-0492,R-1492,Reactor,Area 200,Automation System,Medium
EQ-0493,V-1493,Valve,Area 200,WFI System,Low
EQ-0494,HX-1494,Heat Exchanger,Area 400,Process System,Low
EQ-0495,R-1495,Reactor,Area 400,Automation System,Low
EQ-0496,HX-1496,Heat Exchanger,Area 400,CIP System,Medium
EQ-0497,V-1497,Valve,Area 300,Electrical System,High
EQ-0498,F-1498,Filter,Area 300,Process System,Low
EQ-0499,V-1499,Valve,Area 100,WFI System,Medium
EQ-0500,P-1500,Pump,Area 100,CIP System,Low
EQ-0501,V-1501,Valve,Area 400,CIP System,Medium
EQ-0502,CP-1502,Control Panel,Area 100,CIP System,High
EQ-0503,T-1503,Tank,Cleanroom Area,HVAC System,High
EQ-0504,V-1504,Valve,Area 400,CIP System,Low
EQ-0505,PS-1505,Pipe System,Area 300,HVAC System,Medium
EQ-0506,PS-1506,Pipe System,Area 300,WFI System,Medium
EQ-0507,F-1507,Filter,Area 400,Process System,Low
EQ-0508,F-1508,Filter,Area 300,CIP System,Medium
EQ-0509,PS-1509,Pipe System,Area 400,Process System,Low
EQ-0510,V-1510,Valve,Cleanroom Area,CIP System,High
EQ-0511,CP-1511,Control Panel,Utility Area,Automation System,Undefined
EQ-0512,R-1512,Reactor,Area 300,CIP System,High
EQ-0513,PS-1513,Pipe System,Area 200,HVAC System,Low
EQ-0514,V-1514,Valve,Area 400,Automation System,Low
EQ-0515,PS-1515,Pipe System,Area 300,HVAC System,Low
EQ-0516,F-1516,Filter,Area 400,CIP System,Low
EQ-0517,PS-1517,Pipe System,Area 200,CIP System,Low
EQ-0518,F-1518,Filter,Area 200,Automation System,Low
EQ-0519,P-1519,Pump,Utility Area,Process System,Undefined
EQ-0520,P-1520,Pump,Area 100,HVAC System,High
EQ-0521,V-1521,Valve,Area 100,Electrical System,High
EQ-0522,P-1522,Pump,Area 200,Automation System,Medium
EQ-0523,PS-1523,Pipe System,Area 100,Automation System,Low
EQ-0524,F-1524,Filter,Cleanroom Area,HVAC System,High
EQ-0525,P-1525,Pump,Utility Area,Automation System,Medium
EQ-0526,P-1526,Pump,Area 100,Automation System,Low
EQ-0527,CP-1527,Control Panel,Utility Area,WFI System,High
EQ-0528,R-1528,Reactor,Area 200,Process System,High
EQ-0529,HX-1529,Heat Exchanger,Area 200,CIP System,Low
EQ-0530,CP-1530,Control Panel,Area 300,WFI System,Medium
EQ-0531,T-1531,Tank,Area 300,HVAC System,Medium
EQ-0532,V-1532,Valve,Cleanroom Area,CIP System,Medium
EQ-0533,T-1533,Tank,Cleanroom Area,Electrical System,High
EQ-0534,T-1534,Tank,Area 400,HVAC System,Medium
EQ-0535,F-1535,Filter,Area 100,Electrical System,High
EQ-0536,HX-1536,Heat Exchanger,Area 100,HVAC System,Medium
EQ-0537,PS-1537,Pipe System,Utility Area,Process System,Low
EQ-0538,P-1538,Pump,Area 200,CIP System,Low
EQ-0539,F-1539,Filter,Area 300,Process System,High
EQ-0540,CP-1540,Control Panel,Utility Area,Automation System,Low
EQ-0541,P-1541,Pump,Area 200,WFI System,High
EQ-0542,V-1542,Valve,Utility Area,CIP System,Low
EQ-0543,R-1543,Reactor,Area 100,WFI System,High
EQ-0544,V-1544,Valve,Utility Area,HVAC System,Low
EQ-0545,PS-1545,Pipe System,Area 400,Electrical System,High
EQ-0546,T-1546,Tank,Utility Area,Electrical System,Medium
EQ-0547,P-1547,Pump,Area 100,HVAC System,High
EQ-0548,T-1548,Tank,Area 300,Automation System,Low
EQ-0549,R-1549,Reactor,Area 300,Process System,Low
EQ-0550,CP-1550,Control Panel,Area 400,HVAC System,High
EQ-0551,PS-1551,Pipe System,Utility Area,HVAC System,Undefined
EQ-0552,HX-1552,Heat Exchanger,Cleanroom Area,Automation System,Low
EQ-0553,R-1553,Reactor,Area 100,Automation System,Medium
EQ-0554,V-1554,Valve,Cleanroom Area,Process System,High
EQ-0555,CP-1555,Control Panel,Area 200,HVAC System,Undefined
EQ-0556,HX-1556,Heat Exchanger,Cleanroom Area,HVAC System,Medium
EQ-0557,PS-1557,Pipe System,Area 100,Process System,High
EQ-0558,CP-1558,Control Panel,Area 400,WFI System,Medium
EQ-0559,T-1559,Tank,Area 200,Process System,Undefined
EQ-0560,R-1560,Reactor,Area 400,Automation System,Low
EQ-0561,R-1561,Reactor,Area 100,Process System,High
EQ-0562,PS-1562,Pipe System,Utility Area,Process System,Low
EQ-0563,PS-1563,Pipe System,Area 400,Process System,Medium
EQ-0564,R-1564,Reactor,Area 400,Process System,Low
EQ-0565,V-1565,Valve,Utility Area,Automation System,High
EQ-0566,R-1566,Reactor,Area 200,CIP System,Medium
EQ-0567,CP-1567,Control Panel,Area 300,HVAC System,High
EQ-0568,T-1568,Tank,Area 200,HVAC System,Medium
EQ-0569,R-1569,Reactor,Area 300,HVAC System,High
EQ-0570,PS-1570,Pipe System,Area 300,CIP System,Low
EQ-0571,F-1571,Filter,Utility Area,Automation System,High
EQ-0572,F-1572,Filter,Area 100,CIP System,Medium
EQ-0573,P-1573,Pump,Area 400,WFI System,Low
EQ-0574,R-1574,Reactor,Area 300,HVAC System,Medium
EQ-0575,R-1575,Reactor,Cleanroom Area,Automation System,High
EQ-0576,CP-1576,Control Panel,Area 300,Automation System,Low
EQ-0577,V-1577,Valve,Area 400,WFI System,High
EQ-0578,R-1578,Reactor,Area 300,WFI System,Low
EQ-0579,F-1579,Filter,Utility Area,CIP System,Medium
EQ-0580,R-1580,Reactor,Area 300,HVAC System,Medium
EQ-0581,T-1581,Tank,Utility Area,CIP System,Low
EQ-0582,HX-1582,Heat Exchanger,Cleanroom Area,Automation System,High
EQ-0583,F-1583,Filter,Cleanroom Area,CIP System,Medium
EQ-0584,CP-1584,Control Panel,Cleanroom Area,Process System,Medium
EQ-0585,F-1585,Filter,Area 200,Electrical System,Medium
EQ-0586,V-1586,Valve,Area 300,Electrical System,High
EQ-0587,R-1587,Reactor,Area 400,Process System,Medium
EQ-0588,F-1588,Filter,Utility Area,HVAC System,Low
EQ-0589,R-1589,Reactor,Utility Area,Process System,Medium
EQ-0590,T-1590,Tank,Area 100,CIP System,Low
EQ-0591,PS-1591,Pipe System,Area 200,Electrical System,Low
EQ-0592,P-1592,Pump,Utility Area,Electrical System,Low
EQ-0593,R-1593,Reactor,Area 300,HVAC System,High
EQ-0594,P-1594,Pump,Area 100,WFI System,High
EQ-0595,V-1595,Valve,Area 400,WFI System,Medium
EQ-0596,F-1596,Filter,Cleanroom Area,Automation System,Low
EQ-0597,HX-1597,Heat Exchanger,Area 300,Process System,Medium
EQ-0598,T-1598,Tank,Area 300,HVAC System,High
EQ-0599,T-1599,Tank,Cleanroom Area,CIP System,Medium
EQ-0600,CP-1600,Control Panel,Area 300,HVAC System,High
EQ-0601,F-1601,Filter,Area 300,HVAC System,High
EQ-0602,F-1602,Filter,Cleanroom Area,Electrical System,Medium
EQ-0603,PS-1603,Pipe System,Area 100,WFI System,High
EQ-0604,T-1604,Tank,Area 100,WFI System,Low
EQ-0605,T-1605,Tank,Cleanroom Area,CIP System,Low
EQ-0606,V-1606,Valve,Utility Area,CIP System,Low
EQ-0607,HX-1607,Heat Exchanger,Area 300,Automation System,Medium
EQ-0608,F-1608,Filter,Area 200,HVAC System,Low
EQ-0609,HX-1609,Heat Exchanger,Area 200,Electrical System,Low
EQ-0610,R-1610,Reactor,Area 400,Process System,Low
EQ-0611,V-1611,Valve,Area 400,Automation System,Medium
EQ-0612,R-1612,Reactor,Area 100,Electrical System,High
EQ-0613,V-1613,Valve,Area 300,Electrical System,High
EQ-0614,T-1614,Tank,Utility Area,CIP System,Medium
EQ-0615,PS-1615,Pipe System,Area 200,HVAC System,High
EQ-0616,CP-1616,Control Panel,Cleanroom Area,HVAC System,Low
EQ-0617,PS-1617,Pipe System,Utility Area,HVAC System,Low
EQ-0618,R-1618,Reactor,Utility Area,Process System,Medium
EQ-0619,PS-1619,Pipe System,Area 400,Automation System,High
EQ-0620,CP-1620,Control Panel,Utility Area,Automation System,High
EQ-0621,HX-1621,Heat Exchanger,Area 300,Process System,High
EQ-0622,CP-1622,Control Panel,Area 100,CIP System,Medium
EQ-0623,HX-1623,Heat Exchanger,Utility Area,HVAC System,Medium
EQ-0624,HX-1624,Heat Exchanger,Utility Area,HVAC System,Medium
EQ-0625,HX-1625,Heat Exchanger,Area 400,Electrical System,Low
EQ-0626,HX-1626,Heat Exchanger,Utility Area,CIP System,Medium
EQ-0627,CP-1627,Control Panel,Area 200,CIP System,Medium
EQ-0628,F-1628,Filter,Utility Area,Process System,Medium
EQ-0629,P-1629,Pump,Area 400,CIP System,High
EQ-0630,R-1630,Reactor,Utility Area,Automation System,Low
EQ-0631,F-1631,Filter,Area 400,Electrical System,Medium
EQ-0632,R-1632,Reactor,Cleanroom Area,HVAC System,Medium
EQ-0633,HX-1633,Heat Exchanger,Area 100,Automation System,High
EQ-0634,V-1634,Valve,Area 300,Process System,Medium
EQ-0635,V-1635,Valve,Utility Area,WFI System,High
EQ-0636,F-1636,Filter,Utility Area,Electrical System,Medium
EQ-0637,T-1637,Tank,Utility Area,Process System,Medium
EQ-0638,PS-1638,Pipe System,Utility Area,Process System,Low
EQ-0639,F-1639,Filter,Utility Area,CIP System,Medium
EQ-0640,T-1640,Tank,Cleanroom Area,Electrical System,High
EQ-0641,CP-1641,Control Panel,Area 100,HVAC System,Medium
EQ-0642,PS-1642,Pipe System,Area 100,HVAC System,High
EQ-0643,V-1643,Valve,Area 200,Electrical System,Low
EQ-0644,PS-1644,Pipe System,Cleanroom Area,Automation System,Low
EQ-0645,R-1645,Reactor,Area 200,Automation System,High
EQ-0646,V-1646,Valve,Area 200,Process System,Low
EQ-0647,PS-1647,Pipe System,Utility Area,WFI System,Low
EQ-0648,HX-1648,Heat Exchanger,Area 300,Electrical System,Medium
EQ-0649,CP-1649,Control Panel,Utility Area,WFI System,Low
EQ-0650,T-1650,Tank,Area 200,HVAC System,High
EQ-0651,CP-1651,Control Panel,Cleanroom Area,CIP System,Undefined
EQ-0652,HX-1652,Heat Exchanger,Area 200,CIP System,Low
EQ-0653,PS-1653,Pipe System,Area 200,Electrical System,Medium
EQ-0654,F-1654,Filter,Area 200,Automation System,Low
EQ-0655,CP-1655,Control Panel,Cleanroom Area,HVAC System,Medium
EQ-0656,F-1656,Filter,Area 100,Electrical System,High
EQ-0657,R-1657,Reactor,Utility Area,Electrical System,Medium
EQ-0658,PS-1658,Pipe System,Area 400,HVAC System,Medium
EQ-0659,P-1659,Pump,Cleanroom Area,Process System,Low
EQ-0660,F-1660,Filter,Cleanroom Area,Electrical System,Low
EQ-0661,PS-1661,Pipe System,Area 100,Automation System,Medium
EQ-0662,V-1662,Valve,Area 400,CIP System,Medium
EQ-0663,CP-1663,Control Panel,Area 300,WFI System,Medium
EQ-0664,HX-1664,Heat Exchanger,Utility Area,HVAC System,Medium
EQ-0665,P-1665,Pump,Area 100,Process System,Low
EQ-0666,F-1666,Filter,Area 100,Process System,High
EQ-0667,F-1667,Filter,Area 400,Process System,Medium
EQ-0668,V-1668,Valve,Cleanroom Area,CIP System,Low
EQ-0669,CP-1669,Control Panel,Area 200,WFI System,High
EQ-0670,PS-1670,Pipe System,Area 300,Process System,Medium
EQ-0671,HX-1671,Heat Exchanger,Area 100,HVAC System,Low
EQ-0672,CP-1672,Control Panel,Cleanroom Area,Electrical System,High
EQ-0673,R-1673,Reactor,Cleanroom Area,Process System,Low
EQ-0674,T-1674,Tank,Area 100,CIP System,Medium
EQ-0675,T-1675,Tank,Area 200,Automation System,High
EQ-0676,F-1676,Filter,Area 100,Process System,Low
EQ-0677,PS-1677,Pipe System,Area 100,HVAC System,Low
EQ-0678,HX-1678,Heat Exchanger,Area 400,Process System,High
EQ-0679,R-1679,Reactor,Area 100,Electrical System,High
EQ-0680,T-1680,Tank,Area 300,WFI System,Medium
EQ-0681,HX-1681,Heat Exchanger,Area 400,CIP System,Low
EQ-0682,HX-1682,Heat Exchanger,Area 100,Automation System,Low
EQ-0683,P-1683,Pump,Utility Area,Electrical System,High
EQ-0684,F-1684,Filter,Area 300,Electrical System,High
EQ-0685,HX-1685,Heat Exchanger,Area 400,Automation System,Low
EQ-0686,F-1686,Filter,Area 200,Process System,High
EQ-0687,HX-1687,Heat Exchanger,Area 100,Automation System,Low
EQ-0688,R-1688,Reactor,Area 300,HVAC System,Medium
EQ-0689,HX-1689,Heat Exchanger,Area 200,WFI System,Low
EQ-0690,T-1690,Tank,Area 200,Automation System,Low
EQ-0691,CP-1691,Control Panel,Cleanroom Area,Process System,Low
EQ-0692,CP-1692,Control Panel,Area 200,Automation System,Low
EQ-0693,V-1693,Valve,Cleanroom Area,HVAC System,Medium
EQ-0694,P-1694,Pump,Area 200,HVAC System,Medium
EQ-0695,T-1695,Tank,Area 200,HVAC System,Low
EQ-0696,T-1696,Tank,Utility Area,Process System,Medium
EQ-0697,PS-1697,Pipe System,Area 200,HVAC System,Low
EQ-0698,R-1698,Reactor,Area 300,Automation System,Low
EQ-0699,HX-1699,Heat Exchanger,Area 400,Process System,High
EQ-0700,T-1700,Tank,Area 100,WFI System,High
EQ-0701,P-1701,Pump,Area 100,HVAC System,Low
EQ-0702,CP-1702,Control Panel,Cleanroom Area,Electrical System,Low
EQ-0703,R-1703,Reactor,Area 400,Electrical System,Medium
EQ-0704,T-1704,Tank,Cleanroom Area,Automation System,Low
EQ-0705,HX-1705,Heat Exchanger,Area 300,Process System,Medium
EQ-0706,T-1706,Tank,Utility Area,CIP System,High
EQ-0707,PS-1707,Pipe System,Area 400,Automation System,Low
EQ-0708,T-1708,Tank,Area 300,Electrical System,Medium
EQ-0709,V-1709,Valve,Area 100,CIP System,High
EQ-0710,R-1710,Reactor,Area 100,HVAC System,Low
EQ-0711,P-1711,Pump,Area 300,Electrical System,Low
EQ-0712,HX-1712,Heat Exchanger,Area 100,Process System,Low
EQ-0713,HX-1713,Heat Exchanger,Cleanroom Area,Process System,High
EQ-0714,F-1714,Filter,Area 300,Automation System,Low
EQ-0715,CP-1715,Control Panel,Area 200,WFI System,High
EQ-0716,CP-1716,Control Panel,Cleanroom Area,Process System,High
EQ-0717,PS-1717,Pipe System,Area 400,WFI System,Low
EQ-0718,T-1718,Tank,Area 300,Electrical System,Low
EQ-0719,T-1719,Tank,Area 400,HVAC System,Low
EQ-0720,PS-1720,Pipe System,Area 100,HVAC System,Low
EQ-0721,HX-1721,Heat Exchanger,Area 300,CIP System,Medium
EQ-0722,T-1722,Tank,Utility Area,Electrical System,Low
EQ-0723,T-1723,Tank,Area 200,Electrical System,Low
EQ-0724,P-1724,Pump,Area 100,Process System,High
EQ-0725,P-1725,Pump,Area 400,WFI System,Medium
EQ-0726,HX-1726,Heat Exchanger,Area 200,Process System,Low
EQ-0727,R-1727,Reactor,Area 200,WFI System,Undefined
EQ-0728,R-1728,Reactor,Cleanroom Area,WFI System,Medium
EQ-0729,T-1729,Tank,Utility Area,WFI System,High
EQ-0730,P-1730,Pump,Area 200,CIP System,Low
EQ-0731,P-1731,Pump,Area 400,Process System,Medium
EQ-0732,CP-1732,Control Panel,Area 300,WFI System,High
EQ-0733,F-1733,Filter,Area 100,WFI System,High
EQ-0734,CP-1734,Control Panel,Utility Area,WFI System,Low
EQ-0735,V-1735,Valve,Area 400,WFI System,Low
EQ-0736,F-1736,Filter,Area 200,Electrical System,Low
EQ-0737,V-1737,Valve,Area 200,Process System,Medium
EQ-0738,P-1738,Pump,Area 200,Automation System,Medium
EQ-0739,P-1739,Pump,Area 300,Process System,Low
EQ-0740,R-1740,Reactor,Cleanroom Area,Electrical System,Medium
EQ-0741,T-1741,Tank,Area 200,Automation System,High
EQ-0742,R-1742,Reactor,Area 400,Process System,High
EQ-0743,CP-1743,Control Panel,Area 100,Process System,Undefined
EQ-0744,R-1744,Reactor,Cleanroom Area,WFI System,Medium
EQ-0745,T-1745,Tank,Utility Area,Process System,Low
EQ-0746,HX-1746,Heat Exchanger,Cleanroom Area,HVAC System,High
EQ-0747,P-1747,Pump,Area 400,Electrical System,High
EQ-0748,V-1748,Valve,Area 300,WFI System,Medium
EQ-0749,R-1749,Reactor,Cleanroom Area,Electrical System,Medium
EQ-0750,PS-1750,Pipe System,Area 400,WFI System,High
EQ-0751,T-1751,Tank,Area 200,CIP System,Low
EQ-0752,T-1752,Tank,Area 200,Process System,High
EQ-0753,F-1753,Filter,Area 400,WFI System,Medium
EQ-0754,T-1754,Tank,Utility Area,WFI System,High
EQ-0755,F-1755,Filter,Area 300,HVAC System,Medium
EQ-0756,T-1756,Tank,Area 100,CIP System,Low
EQ-0757,CP-1757,Control Panel,Cleanroom Area,Electrical System,Low
EQ-0758,P-1758,Pump,Area 200,WFI System,High
EQ-0759,T-1759,Tank,Cleanroom Area,CIP System,Medium
EQ-0760,R-1760,Reactor,Utility Area,Process System,Low
EQ-0761,CP-1761,Control Panel,Area 300,CIP System,High
EQ-0762,R-1762,Reactor,Area 400,Automation System,Low
EQ-0763,V-1763,Valve,Area 100,HVAC System,High
EQ-0764,HX-1764,Heat Exchanger,Area 100,Process System,High
EQ-0765,V-1765,Valve,Area 200,CIP System,Medium
EQ-0766,PS-1766,Pipe System,Cleanroom Area,Electrical System,Low
EQ-0767,T-1767,Tank,Utility Area,Automation System,Medium
EQ-0768,T-1768,Tank,Area 100,Process System,High
EQ-0769,F-1769,Filter,Area 200,Process System,Medium
EQ-0770,T-1770,Tank,Area 100,HVAC System,High
EQ-0771,HX-1771,Heat Exchanger,Utility Area,HVAC System,Low
EQ-0772,R-1772,Reactor,Area 400,Process System,Medium
EQ-0773,R-1773,Reactor,Area 200,WFI System,High
EQ-0774,HX-1774,Heat Exchanger,Area 300,WFI System,Medium
EQ-0775,HX-1775,Heat Exchanger,Area 100,Automation System,Low
EQ-0776,V-1776,Valve,Cleanroom Area,WFI System,Medium
EQ-0777,R-1777,Reactor,Utility Area,HVAC System,High
EQ-0778,T-1778,Tank,Area 300,HVAC System,High
EQ-0779,R-1779,Reactor,Area 200,Electrical System,Low
EQ-0780,V-1780,Valve,Cleanroom Area,Automation System,High
EQ-0781,R-1781,Reactor,Cleanroom Area,WFI System,Medium
EQ-0782,F-1782,Filter,Area 300,Automation System,Low
EQ-0783,PS-1783,Pipe System,Area 400,WFI System,High
EQ-0784,P-1784,Pump,Area 300,Automation System,High
EQ-0785,P-1785,Pump,Area 300,Process System,Medium
EQ-0786,PS-1786,Pipe System,Utility Area,CIP System,High
EQ-0787,T-1787,Tank,Area 200,Electrical System,High
EQ-0788,CP-1788,Control Panel,Utility Area,Electrical System,Undefined
EQ-0789,V-1789,Valve,Utility Area,HVAC System,Medium
EQ-0790,HX-1790,Heat Exchanger,Area 200,CIP System,Low
EQ-0791,PS-1791,Pipe System,Cleanroom Area,Electrical System,Medium
EQ-0792,P-1792,Pump,Cleanroom Area,Electrical System,Medium
EQ-0793,HX-1793,Heat Exchanger,Utility Area,CIP System,Medium
EQ-0794,CP-1794,Control Panel,Area 200,HVAC System,High
EQ-0795,T-1795,Tank,Area 100,CIP System,Low
EQ-0796,V-1796,Valve,Area 100,Automation System,Medium
EQ-0797,P-1797,Pump,Area 300,Automation System,High
EQ-0798,HX-1798,Heat Exchanger,Area 300,Electrical System,High
EQ-0799,PS-1799,Pipe System,Area 100,Process System,High
EQ-0800,HX-1800,Heat Exchanger,Area 100,Automation System,Medium
